CARB ID,Project ID,Project Type,Date,Credits, Project Name,Project Operator,State
CAFR5011-A,CAR993,Forest,2013,836619,Yurok Tribe/Forest Carbon Partners CKGG Improved Forest Management Project,Yurok Tribe,CA
CAFR5011-B,CAR993,Forest,2014,19520,Yurok Tribe/Forest Carbon Partners CKGG Improved Forest Management Project,Yurok Tribe,CA
CAFR5011-C,CAR993,Forest,2015,19520,Yurok Tribe/Forest Carbon Partners CKGG Improved Forest Management Project,Yurok Tribe,CA
CAFR5011-D,CAR993,Forest,2016,107992,Yurok Tribe/Forest Carbon Partners CKGG Improved Forest Management Project,Yurok Tribe,CA
CAFR5012-A,ACR182,Forest,2013,107214,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.",CA
CAFR5012-B,ACR182,Forest,2014,10051,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.",CA
CAFR5012-C,ACR182,Forest,2015,10051,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.",CA
CAFR5016-A,ACR189,Forest,2013,271144,Miller Forest,Edward Miller Trust,CA
CAFR5016-B,ACR189,Forest,2014,7185,Miller Forest,Edward Miller Trust,CA
CAFR5016-C,ACR189,Forest,2015,7316,Miller Forest,Edward Miller Trust,CA
CAFR5016-D,ACR189,Forest,2016,7574,Miller Forest,Edward Miller Trust,CA
CAFR5016-E,ACR189,Forest,2017,7774,Miller Forest,Edward Miller Trust,CA
CAFR5028-A,ACR173,Forest,2013,540828,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,CA
CAFR5028-B,ACR173,Forest,2014,8356,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,CA
CAFR5028-C,ACR173,Forest,2015,45066,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,CA
CAFR5028-D,ACR173,Forest,2016,3407,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,CA
CAFR5038-A,CAR1041,Forest,2015,662284,Sacramento Canyon ARB001,Sierra Pacific Industries,CA
CAFR5055-A,CAR1013,Forest,2014,330236,Buckeye Forest Project,"Sustainable Conservation, Inc.",CA
CAFR5055-B,CAR1013,Forest,2015,118295,Buckeye Forest Project,"Sustainable Conservation, Inc.",CA
CAFR5055-C,CAR1013,Forest,2016,98559,Buckeye Forest Project,"Sustainable Conservation, Inc.",CA
CAFR5055-D,CAR1013,Forest,2017,71851,Buckeye Forest Project,"Sustainable Conservation, Inc.",CA
CAFR5055-E,CAR1013,Forest,2018,118619,Buckeye Forest Project,"Sustainable Conservation, Inc.",CA
CAFR5058-A,CAR1066,Forest,2015,302354,Buck Mountain ARB002,Sierra Pacific Industries,CA
CAFR5063-A,CAR1067,Forest,2014,4343,Finite Carbon – Berry Summit IFM,"Berry Summit, LLC",CA
CALS5071-A,CAR1065,Livestock,2015,4978,ABEC New Hope LLC,"California Bioenergy, LLC",CA
CAFR5076-A,CAR1046,Forest,2014,847895,Trinity Timberlands University Hill Improved Forest Management Project,"Trinity Timberlands, LLC",CA
CAFR5090-A,CAR1070,Forest,2016,548363,Phase 1 Sustainable Forest Project,Yurok Tribe,CA
CAFR5090-B,CAR1070,Forest,2017,59541,Phase 1 Sustainable Forest Project,Yurok Tribe,CA
CAFR5090-C,CAR1070,Forest,2018,102530,Phase 1 Sustainable Forest Project,Yurok Tribe,CA
CAFR5096-A,CAR1095,Forest,2014,1367613,Brushy Mountain,"Coastal Forestlands, Ltd., a California Limited Partnership",CA
CAFR5096-B,CAR1095,Forest,2015,179963,Brushy Mountain,"Coastal Forestlands, Ltd., a California Limited Partnership",CA
CAFR5096-C,CAR1095,Forest,2016,101148,Brushy Mountain,"Coastal Forestlands, Ltd., a California Limited Partnership",CA
CAFR5096-D,CAR1095,Forest,2017,74335,Brushy Mountain,"Coastal Forestlands, Ltd., a California Limited Partnership",CA
CAFR5096-E,CAR1095,Forest,2018,82078,Brushy Mountain,"Coastal Forestlands, Ltd., a California Limited Partnership",CA
CAFR5106-A,CAR1100,Forest,2016,91213,Big River / Salmon Creek Forests - ARB,The Conservation Fund,CA
CAFR5106-B,CAR1100,Forest,2017,71758,Big River / Salmon Creek Forests - ARB,The Conservation Fund,CA
CAFR5106-C,CAR1100,Forest,2018,81755,Big River / Salmon Creek Forests - ARB,The Conservation Fund,CA
CALS5131-A,CAR1108,Livestock,2015,31704,Pacific Rim Dairy Digester,"Pacific Rim Energy, LLC",CA
CALS5131-B,CAR1108,Livestock,2016,32279,Pacific Rim Dairy Digester,"Pacific Rim Energy, LLC",CA
CALS5131-C,CAR1108,Livestock,2017,5309,Pacific Rim Dairy Digester,"Pacific Rim Energy, LLC",CA
CALS5131-D,CAR1108,Livestock,2018,19362,Pacific Rim Dairy Digester,"Pacific Rim Energy, LLC",CA
CAFR5137-A,CAR1099,Forest,2016,110950,Gualala River Forest – ARB,The Conservation Fund,CA
CAFR5137-B,CAR1099,Forest,2017,84934,Gualala River Forest – ARB,The Conservation Fund,CA
CAFR5137-C,CAR1099,Forest,2018,96129,Gualala River Forest – ARB,The Conservation Fund,CA
CAFR5141-A,CAR1098,Forest,2016,102161,Garcia River Forest - ARB,The Conservation Fund,CA
CAFR5141-B,CAR1098,Forest,2017,156978,Garcia River Forest - ARB,The Conservation Fund,CA
CAFR5141-C,CAR1098,Forest,2018,173726,Garcia River Forest - ARB,The Conservation Fund,CA
CAFR5141-D,CAR1098,Forest,2019,136771,Garcia River Forest - ARB,The Conservation Fund,CA
CALS5142-A,CAR1142,Livestock,2015,7922,Fiscalini Farms Anaerobic Digester,"Fiscalini Properties, L.P.",CA
CALS5142-B,CAR1142,Livestock,2017,3175,Fiscalini Farms Anaerobic Digester,"Fiscalini Properties, L.P.",CA
CAFR5148-A,CAR1102,Forest,2016,215440,Montesol – Forest Carbon Partners Improved Forest Management Project,"Montesol, LLC",CA
CAFR5149-A,CAR1103,Forest,2015,270943,Forest Carbon Partners – Glass Ranch Improved Forest Management Project,Ronald Glass,CA
CAFR5150-A,CAR1104,Forest,2015,287077,Forest Carbon Partners – Gabrych Ranch Improved Forest Management Project,GM Gabrych Family Limited Partnership,CA
CALS5151-A,CAR1151,Livestock,2015,40236,Cottonwood Dairy Livestock Gas Capture Project,"Gallo Cattle Company, A Limited Partnership",CA
CALS5151-B,CAR1151,Livestock,2016,10438,Cottonwood Dairy Livestock Gas Capture Project,"Gallo Cattle Company, A Limited Partnership",CA
CALS5151-C,CAR1151,Livestock,2017,7893,Cottonwood Dairy Livestock Gas Capture Project,"Gallo Cattle Company, A Limited Partnership",CA
CAFR5170-A,CAR1140,Forest,2015,217488,Willits Woods IFM,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR5170-B,CAR1140,Forest,2016,188563,Willits Woods IFM,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR5171-A,CAR1141,Forest,2016,10433,Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CALS5183-A,CAR1136,Livestock,2017,74174,CalBio ORRD Project,"ABEC Bidart-Old River, LLC",CA
CALS5183-B,CAR1136,Livestock,2018,45371,CalBio ORRD Project,"ABEC Bidart-Old River, LLC",CA
CALS5197-A,CAR1177,Livestock,2015,8213,"Pixley Biogas, LLC","Pixley Biogas, LLC",CA
CALS5197-B,CAR1177,Livestock,2016,10505,"Pixley Biogas, LLC","Pixley Biogas, LLC",CA
CALS5197-C,CAR1177,Livestock,2017,3657,"Pixley Biogas, LLC","Pixley Biogas, LLC",CA
CAFR5200-A,ACR200,Forest,2015,65806,Brush Creek,Edward Miller Trust,CA
CAFR5200-B,ACR200,Forest,2016,11114,Brush Creek,Edward Miller Trust,CA
CAFR5200-C,ACR200,Forest,2017,11678,Brush Creek,Edward Miller Trust,CA
CAFR5212-A,ACR262,Forest,2015,676069,Bewley Ranches,Ross Bewley,CA
CAFR5212-B,ACR262,Forest,2016,72604,Bewley Ranches,Ross Bewley,CA
CAFR5212-C,ACR262,Forest,2017,71727,Bewley Ranches,Ross Bewley,CA
CAFR5212-D,ACR262,Forest,2018,66267,Bewley Ranches,Ross Bewley,CA
CAFR5220-A,CAR1190,Forest,2017,331816,Greenwood Creek,"Mendocino Redwood Company, LLC",CA
CAFR5224-A,CAR1174,Forest,2017,274971,Forest Carbon Partners – Eddie Ranch Improved Forest Management Project,"Eddie Ranch Properties, LLC",CA
CAFR5232-A,ACR282,Forest,2016,540599,Blue Creek,Western Rivers Forestry,CA
CAFR5232-B,ACR282,Forest,2017,227161,Blue Creek,Western Rivers Forestry,CA
CAFR5232-C,ACR282,Forest,2018,87330,Blue Creek,Western Rivers Forestry,CA
CAFR5242-A,ACR292,Forest,2016,117216,Congaree River,"Congaree River, LLC, an Illinois LLC",CA
CALS5245-A,CAR1178,Livestock,2016,18782,Open Sky Ranch Dairy Digester,"Open Sky Ranch, Inc.",CA
CALS5245-B,CAR1178,Livestock,2017,22684,Open Sky Ranch Dairy Digester,"Open Sky Ranch, Inc.",CA
CALS5245-C,CAR1178,Livestock,2018,21275,Open Sky Ranch Dairy Digester,"Open Sky Ranch, Inc.",CA
CAFR5280-A,CAR1180,Forest,2016,927027,Mailliard Ranch,"Mailliard Ranch, a California Limited Partnership",CA
CAFR5280-B,CAR1180,Forest,2017,48418,Mailliard Ranch,"Mailliard Ranch, a California Limited Partnership",CA
CAFR5280-C,CAR1180,Forest,2018,50064,Mailliard Ranch,"Mailliard Ranch, a California Limited Partnership",CA
CAFR5281-A,CAR1139,Forest,2015,307560,Usal Redwood Forest - IFM,"Usal Redwood Forest Company, LLC",CA
CAFR5281-C,CAR1139,Forest,2016,310596,Usal Redwood Forest - IFM,"Usal Redwood Forest Company, LLC",CA
CAFR5281-B,CAR1139,Forest,2017,292165,Usal Redwood Forest - IFM,"Usal Redwood Forest Company, LLC",CA
CAFR5281-D,CAR1139,Forest,2018,251056,Usal Redwood Forest - IFM,"Usal Redwood Forest Company, LLC",CA
CAFR5291-A,CAR1191,Forest,2016,817984,Hollow Tree,"Mendocino Redwood Company, LLC",CA
CAFR5291-B,CAR1191,Forest,2017,99720,Hollow Tree,"Mendocino Redwood Company, LLC",CA
CAFR5291-C,CAR1191,Forest,2018,67448,Hollow Tree,"Mendocino Redwood Company, LLC",CA
CALS5345-A,CAR1245,Livestock,2017,5572,Van Steyn Dairy Digester,"Maas Energy Works, Inc.",CA
CALS5365-A,CAR1265,Livestock,2017,49518,Verwey Hanford Dairy Digester,Philip Verwey Farms,CA
CALS5365-B,CAR1265,Livestock,2018,40057,Verwey Hanford Dairy Digester,Philip Verwey Farms,CA
CAFR5377-A,ACR377,Forest,2017,367438,Cappell Creek Improved Forest Management Project,"California Timberlands 2, LLC",CA
CAFR5378-A,ACR378,Forest,2017,353052,Lord Ellis Improved Forest Management Project,"California Timberlands 2, LLC",CA
CALS5388-A,CAR1288,Livestock,2018,27942,GJ TeVelde Ranch Dairy Digester,"GJ TeVelde Ranch Energy, LLC",CA
CALS5388-B,CAR1288,Livestock,2019,21734,GJ TeVelde Ranch Dairy Digester,"GJ TeVelde Ranch Energy, LLC",CA
CALS6315-A,CAR1315,Livestock,2019,25185,West Star North Dairy,"ABEC #2, LLC",CA
CALS6316-A,CAR1316,Livestock,2019,17312,Lakeview Farms Dairy,"ABEC #3, LLC",CA
CALS6317-A,CAR1317,Livestock,2019,28166,CE&S Dairy,"ABEC #4, LLC",CA
CAFR0001-A,CAR661,Forest,2004,9602,Willits Woods,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR0001-B,CAR661,Forest,2005,108940,Willits Woods,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR0001-C,CAR661,Forest,2006,117275,Willits Woods,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR0001-D,CAR661,Forest,2007,126078,Willits Woods,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR0001-E,CAR661,Forest,2008,135375,Willits Woods,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR0001-F,CAR661,Forest,2009,145194,Willits Woods,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR0001-G,CAR661,Forest,2010,155565,Willits Woods,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR0001-H,CAR661,Forest,2011,166517,Willits Woods,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR0001-I,CAR661,Forest,2012,163731,Willits Woods,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR0001-J,CAR661,Forest,2013,162354,Willits Woods,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR0001-K,CAR661,Forest,2014,173951,Willits Woods,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR0040-A,CAR102,Forest,2010,100,Garcia River Forest,The Conservation Fund,CA
CAFR0040-A2,CAR102,Forest,2010,25000,Garcia River Forest,The Conservation Fund,CA
CAFR0040-A3,CAR102,Forest,2010,60000,Garcia River Forest,The Conservation Fund,CA
CAFR0040-A4,CAR102,Forest,2010,65008,Garcia River Forest,The Conservation Fund,CA
CAFR0040-B,CAR102,Forest,2011,100,Garcia River Forest,The Conservation Fund,CA
CAFR0040-B2,CAR102,Forest,2011,25000,Garcia River Forest,The Conservation Fund,CA
CAFR0040-C,CAR102,Forest,2012,100,Garcia River Forest,The Conservation Fund,CA
CAFR0040-C2,CAR102,Forest,2012,24100,Garcia River Forest,The Conservation Fund,CA
CAFR0040-D,CAR102,Forest,2013,100,Garcia River Forest,The Conservation Fund,CA
CAFR0040-E,CAR102,Forest,2008,51845,Garcia River Forest,The Conservation Fund,CA
CAFR0040-F,CAR102,Forest,2009,64220,Garcia River Forest,The Conservation Fund,CA
CAFR0041-A,CAR408,Forest,2012,450000,Big River / Salmon Creek Forests,The Conservation Fund,CA
CAFR0041-A2,CAR408,Forest,2012,175000,Big River / Salmon Creek Forests,The Conservation Fund,CA
CAFR0041-B,CAR408,Forest,2008,129057,Big River / Salmon Creek Forests,The Conservation Fund,CA
CAFR0041-B2,CAR408,Forest,2008,45000,Big River / Salmon Creek Forests,The Conservation Fund,CA
CAFR0041-B3,CAR408,Forest,2008,25000,Big River / Salmon Creek Forests,The Conservation Fund,CA
CAFR0041-B4,CAR408,Forest,2008,2941,Big River / Salmon Creek Forests,The Conservation Fund,CA
CAFR0041-C,CAR408,Forest,2011,48000,Big River / Salmon Creek Forests,The Conservation Fund,CA
CAFR0041-C2,CAR408,Forest,2011,28000,Big River / Salmon Creek Forests,The Conservation Fund,CA
CAFR0041-C3,CAR408,Forest,2011,58345,Big River / Salmon Creek Forests,The Conservation Fund,CA
CAFR0041-D,CAR408,Forest,2009,13979,Big River / Salmon Creek Forests,The Conservation Fund,CA
CAFR0041-E,CAR408,Forest,2010,1349,Big River / Salmon Creek Forests,The Conservation Fund,CA
CAFR0042-A,CAR660,Forest,2007,6863,Gualala River Forest,The Conservation Fund,CA
CAFR0042-B,CAR660,Forest,2008,95789,Gualala River Forest,The Conservation Fund,CA
CAFR0042-C,CAR660,Forest,2009,102301,Gualala River Forest,The Conservation Fund,CA
CAFR0042-D,CAR660,Forest,2010,39169,Gualala River Forest,The Conservation Fund,CA
CAFR0042-E,CAR660,Forest,2011,50709,Gualala River Forest,The Conservation Fund,CA
CAFR0042-F,CAR660,Forest,2012,103645,Gualala River Forest,The Conservation Fund,CA
CAFR0042-G,CAR660,Forest,2013,714,Gualala River Forest,The Conservation Fund,CA
CAFR0042-H,CAR660,Forest,2014,15156,Gualala River Forest,The Conservation Fund,CA
CAFR0049-A,CAR101,Forest,2006,49497,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0049-A2,CAR101,Forest,2006,358,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0049-B,CAR101,Forest,2007,97015,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0049-B2,CAR101,Forest,2007,18137,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0049-C,CAR101,Forest,2008,689,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0049-C2,CAR101,Forest,2008,1000,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0049-C3,CAR101,Forest,2008,25268,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0049-D,CAR101,Forest,2009,30000,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0049-D2,CAR101,Forest,2009,20895,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0049-E,CAR101,Forest,2011,38790,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0049-E2,CAR101,Forest,2011,5000,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0049-F,CAR101,Forest,2012,25144,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0049-G,CAR101,Forest,2013,23317,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0049-H,CAR101,Forest,2014,26502,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0049-I,CAR101,Forest,2010,23342,The Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CAFR0064-A,CAR777,Forest,2011,1245840,Yurok Tribe Sustainable Forest Project,Yurok Tribe,CA
CAFR0064-B,CAR777,Forest,2012,31284,Yurok Tribe Sustainable Forest Project,Yurok Tribe,CA
CAFR0064-C,CAR777,Forest,2013,29731,Yurok Tribe Sustainable Forest Project,Yurok Tribe,CA
CAFR0064-D,CAR777,Forest,2014,23286,Yurok Tribe Sustainable Forest Project,Yurok Tribe,CA
CAFR0070-A,CAR1004,Forest,2013,239205,Finite Carbon – Berry Summit,"Berry Summit, LLC",CA
CAFR0073-A,CAR429,Forest,2007,88868,McCloud River,"Bascom Pacific, LLC",CA
CAFR0073-B,CAR429,Forest,2008,71094,McCloud River,"Bascom Pacific, LLC",CA
CAFR0073-C,CAR429,Forest,2009,20049,McCloud River,"Bascom Pacific, LLC",CA
CAFR0073-D,CAR429,Forest,2010,20049,McCloud River,"Bascom Pacific, LLC",CA
CAFR0073-E,CAR429,Forest,2011,18620,McCloud River,"Bascom Pacific, LLC",CA
CAFR0073-F,CAR429,Forest,2012,47111,McCloud River,"Bascom Pacific, LLC",CA
CAFR0100-A,CAR1015,Forest,2013,115972,Rips Redwoods,"Rips Redwoods, LLC",CA
CAFR0100-B,CAR1015,Forest,2014,6305,Rips Redwoods,"Rips Redwoods, LLC",CA
CALS0114-A,CAR589,Livestock,2012,788,Fiscalini Farms Anaerobic Digester,"Fiscalini Properties, L.P.",CA
CALS0114-B,CAR589,Livestock,2013,5955,Fiscalini Farms Anaerobic Digester,"Fiscalini Properties, L.P.",CA
CAFR0123-A,CAR730,Forest,2007,1801449,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CAFR0123-B,CAR730,Forest,2008,270507,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CAFR0123-C,CAR730,Forest,2009,280060,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CAFR0123-D,CAR730,Forest,2010,289883,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CAFR0123-E,CAR730,Forest,2011,299983,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CAFR0123-F,CAR730,Forest,2012,313477,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CAFR0123-G,CAR730,Forest,2013,324298,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CAFR0123-H,CAR730,Forest,2014,339125,Usal Redwood Forest,"Usal Redwood Forest Company, LLC",CA
CALS0124-A,CAR393,Livestock,2012,11196,Cottonwood Dairy Livestock Gas Capture Project,Grey K Trading Limited,CA
CALS0124-B,CAR393,Livestock,2013,16645,Cottonwood Dairy Livestock Gas Capture Project,Grey K Trading Limited,CA
CALS0126-A,CAR393,Livestock,2007,16834,Cottonwood Dairy Livestock Gas Capture Project,Grey K Trading Limited,CA
